Regiao;Codigo_UF;UF;Codigo_IBGE;Municipio;MuitoBaixo_Qtd;MuitoBaixo_Perc;Baixo_Qtd;Baixo_Perc;Adequado_Qtd;Adequado_Perc;Elevado_Qtd;Elevado_Perc;Total
NORDESTE;26;PE;260005;ABREU E LIMA;0;-;0.0;-;2.0;100%;0.0;-;2.0
NORDESTE;26;PE;260010;AFOGADOS DA INGAZEIRA;2;7.69%;0.0;-;24.0;92.31%;0.0;-;26.0
NORDESTE;26;PE;260020;AFRANIO;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260030;AGRESTINA;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260040;AGUA PRETA;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260050;AGUAS BELAS;0;-;0.0;-;13.0;100%;0.0;-;13.0
NORDESTE;26;PE;260060;ALAGOINHA;0;-;0.0;-;3.0;100%;0.0;-;3.0
NORDESTE;26;PE;260070;ALIANCA;1;8.33%;0.0;-;10.0;83.33%;1.0;8.33%;12.0
NORDESTE;26;PE;260080;ALTINHO;1;50%;0.0;-;1.0;50%;0.0;-;2.0
NORDESTE;26;PE;260090;AMARAJI;0;-;1.0;25%;3.0;75%;0.0;-;4.0
NORDESTE;26;PE;260100;ANGELIM;0;-;0.0;-;2.0;100%;0.0;-;2.0
NORDESTE;26;PE;260105;ARACOIABA;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260110;ARARIPINA;0;-;0.0;-;2.0;100%;0.0;-;2.0
NORDESTE;26;PE;260120;ARCOVERDE;0;-;1.0;20%;4.0;80%;0.0;-;5.0
NORDESTE;26;PE;260130;BARRA DE GUABIRABA;0;-;0.0;-;3.0;75%;1.0;25%;4.0
NORDESTE;26;PE;260140;BARREIROS;0;-;0.0;-;2.0;100%;0.0;-;2.0
NORDESTE;26;PE;260150;BELEM DE MARIA;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260160;BELEM DO SAO FRANCISCO;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260170;BELO JARDIM;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260180;BETANIA;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260190;BEZERROS;0;-;0.0;-;10.0;90.91%;1.0;9.09%;11.0
NORDESTE;26;PE;260200;BODOCO;0;-;1.0;100%;0.0;-;0.0;-;1.0
NORDESTE;26;PE;260210;BOM CONSELHO;0;-;0.0;-;8.0;100%;0.0;-;8.0
NORDESTE;26;PE;260220;BOM JARDIM;0;-;0.0;-;8.0;100%;0.0;-;8.0
NORDESTE;26;PE;260230;BONITO;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260240;BREJAO;0;-;0.0;-;8.0;100%;0.0;-;8.0
NORDESTE;26;PE;260250;BREJINHO;0;-;0.0;-;6.0;100%;0.0;-;6.0
NORDESTE;26;PE;260260;BREJO DA MADRE DE DEUS;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260270;BUENOS AIRES;0;-;0.0;-;2.0;100%;0.0;-;2.0
NORDESTE;26;PE;260280;BUIQUE;0;-;0.0;-;2.0;100%;0.0;-;2.0
NORDESTE;26;PE;260290;CABO DE SANTO AGOSTINHO;0;-;0.0;-;17.0;89.47%;2.0;10.53%;19.0
NORDESTE;26;PE;260300;CABROBO;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260310;CACHOEIRINHA;0;-;0.0;-;15.0;93.75%;1.0;6.25%;16.0
NORDESTE;26;PE;260320;CAETES;0;-;0.0;-;4.0;100%;0.0;-;4.0
NORDESTE;26;PE;260330;CALCADO;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260340;CALUMBI;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260345;CAMARAGIBE;0;-;0.0;-;6.0;100%;0.0;-;6.0
NORDESTE;26;PE;260350;CAMOCIM DE SAO FELIX;0;-;1.0;20%;2.0;40%;2.0;40%;5.0
NORDESTE;26;PE;260360;CAMUTANGA;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260370;CANHOTINHO;0;-;0.0;-;12.0;92.31%;1.0;7.69%;13.0
NORDESTE;26;PE;260380;CAPOEIRAS;0;-;0.0;-;6.0;100%;0.0;-;6.0
NORDESTE;26;PE;260390;CARNAIBA;0;-;0.0;-;8.0;80%;2.0;20%;10.0
NORDESTE;26;PE;260392;CARNAUBEIRA DA PENHA;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260400;CARPINA;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260410;CARUARU;1;1.28%;1.0;1.28%;70.0;89.74%;6.0;7.69%;78.0
NORDESTE;26;PE;260415;CASINHAS;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260420;CATENDE;0;-;1.0;20%;3.0;60%;1.0;20%;5.0
NORDESTE;26;PE;260430;CEDRO;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260440;CHA DE ALEGRIA;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260450;CHA GRANDE;0;-;0.0;-;8.0;100%;0.0;-;8.0
NORDESTE;26;PE;260460;CONDADO;0;-;0.0;-;3.0;100%;0.0;-;3.0
NORDESTE;26;PE;260470;CORRENTES;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260480;CORTES;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260490;CUMARU;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260500;CUPIRA;0;-;0.0;-;2.0;100%;0.0;-;2.0
NORDESTE;26;PE;260510;CUSTODIA;0;-;0.0;-;3.0;100%;0.0;-;3.0
NORDESTE;26;PE;260515;DORMENTES;0;-;0.0;-;1.0;50%;1.0;50%;2.0
NORDESTE;26;PE;260520;ESCADA;0;-;0.0;-;3.0;100%;0.0;-;3.0
NORDESTE;26;PE;260530;EXU;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260540;FEIRA NOVA;0;-;0.0;-;2.0;100%;0.0;-;2.0
NORDESTE;26;PE;260545;FERNANDO DE NORONHA;0;-;0.0;-;1.0;100%;0.0;-;1.0
NORDESTE;26;PE;260550;FERREIROS;0;-;0.0;-;6.0;100%;0.0;-;6.0
NORDESTE;26;PE;260560;FLORES;0;-;0.0;-;4.0;100%;0.0;-;4.0
NORDESTE;26;PE;260570;FLORESTA;0;-;0.0;-;4.0;80%;1.0;20%;5.0
NORDESTE;26;PE;260580;FREI MIGUELINHO;0;-;0.0;-;3.0;100%;0.0;-;3.0
NORDESTE;26;PE;260590;GAMELEIRA;0;-;0.0;-;0.0;-;0.0;-;0.0
NORDESTE;26;PE;260600;GARANHUNS;1;2.78%;1.0;2.78%;34.0;94.44%;0.0;-;36.0
NORDESTE;26;PE;260610;GLORIA DO GOITA;0;-;0.0;-;4.0;100%;0.0;-;4.0
NORDESTE;26;PE;260620;GOIANA;0;-;0.0;-;3.0;100%;0.0;-;3.0
NORDESTE;26;PE;260630;GRANITO;0;-;0.0;-;1.0;50%;1.0;50%;2.0
NORDESTE;26;PE;260640;GRAVATA;0;-;0.0;-;18.0;94.74%;1.0;5.26%;19.0
NORDESTE;26;PE;260650;IATI;0;-;0.0;-;2.0;100%;0.0;-;2.0
NORDESTE;26;PE;260660;IBIMIRIM;0;-;0.0;-;3.0;100%;0.0;-;3.0
NORDESTE;26;PE;260670;IBIRAJUBA;0;-;0.0;-;7.0;100%;0.0;-;7.0
NORDESTE;26;PE;260680;IGARASSU;0;-;0.0;-;2.0;100%;0.0;-;2.0
